index.js:11191 Adaptive Video Streaming Service by www.bitmovin.com
index.js:52632 {CMCD-Request: 'bl=28823.462,dl=28823.462,mtp=15653.47,su', CMCD-Object: 'br=14923,ot=v,tb=14922.982', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=32093.084000000006,dl=32093.084000000006,mtp=228.66,su', CMCD-Object: 'ot=a', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=31913.395999999997,dl=31913.395999999997,mtp=10847.25,su', CMCD-Object: 'br=14923,ot=v,tb=14922.982', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=35258.916,dl=35258.916,mtp=237.65,su', CMCD-Object: 'ot=a', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=35093.981999999996,dl=35093.981999999996,mtp=14898.77,su', CMCD-Object: 'br=14923,ot=v,tb=14922.982', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=38511.673,dl=38511.673,mtp=247.5,su', CMCD-Object: 'ot=a', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=38292.889,dl=38292.889,mtp=17465.89,su', CMCD-Object: 'br=14923,ot=v,tb=14922.982', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=39911.926999999996,dl=39911.926999999996,mtp=215.58,su', CMCD-Object: 'ot=a', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=39717.405999999995,dl=39717.405999999995,mtp=18113.47,su', CMCD-Object: 'br=14923,ot=v,tb=14922.982', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=39885.047,dl=39885.047,mtp=229.98,su', CMCD-Object: 'ot=a', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=39688.903,dl=39688.903,mtp=16159.98,su', CMCD-Object: 'br=14923,ot=v,tb=14922.982', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=39901.687000000005,dl=39901.687000000005,mtp=224.7,su', CMCD-Object: 'ot=a', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=39613.186,dl=39613.186,mtp=16421.8,su', CMCD-Object: 'br=14923,ot=v,tb=14922.982', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=39857.505000000005,dl=39857.505000000005,mtp=166.56,su', CMCD-Object: 'ot=a', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=39672.473,dl=39672.473,mtp=7659.01,su', CMCD-Object: 'br=14923,ot=v,tb=14922.982', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=39890.883,dl=39890.883,mtp=246.17,su', CMCD-Object: 'ot=a', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=39711.537,dl=39711.537,mtp=13770.43,su', CMCD-Object: 'br=14923,ot=v,tb=14922.982', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=39864.316,dl=39864.316,mtp=245.21,su', CMCD-Object: 'ot=a', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
index.js:52632 {CMCD-Request: 'bl=39644.892,dl=39644.892,mtp=4851.04,su', CMCD-Object: 'br=14923,ot=v,tb=14922.982', CMCD-Session: 'cid="1111-111111-111111-11111",sf=h,sid="6e2fb550-c457-11e9-bb97-0800200c9a66",st=v'}
